,zip,city,state,latitude,longitude,timezone,dst
0,210,Portsmouth,NH,43.005894,-71.0132,-5,1
1,211,Portsmouth,NH,43.005894,-71.0132,-5,1
2,212,Portsmouth,NH,43.005894,-71.0132,-5,1
3,213,Portsmouth,NH,43.005894,-71.0132,-5,1
4,214,Portsmouth,NH,43.005894,-71.0132,-5,1
5,215,Portsmouth,NH,43.005894,-71.0132,-5,1
6,501,Holtsville,NY,40.922325,-72.63708,-5,1
7,544,Holtsville,NY,40.922325,-72.63708,-5,1
8,601,Adjuntas,PR,18.180103,-66.74947,-4,0
9,602,Aguada,PR,18.363285,-67.18024,-4,0
10,603,Aguadilla,PR,18.44862,-67.13422,-4,0
11,604,Aguadilla,PR,18.498987,-67.13699,-4,0
12,605,Aguadilla,PR,18.465162,-67.14149,-4,0
13,606,Maricao,PR,18.182152,-66.9588,-4,0
14,607,Aguas Buenas,PR,18.256994,-66.10466,-4,0
15,609,Aibonito,PR,18.142002,-66.27328,-4,0
16,610,Anasco,PR,18.288319,-67.13604,-4,0
17,611,Angeles,PR,18.279531,-66.80217,-4,0
18,612,Arecibo,PR,18.449732,-66.69879,-4,0
19,613,Arecibo,PR,18.458094,-66.732735,-4,0
20,614,Arecibo,PR,18.429674,-66.67451,-4,0
21,615,Arroyo,PR,17.96977,-66.06146,-4,0
22,616,Bajadero,PR,18.426748,-66.67669,-4,0
23,617,Barceloneta,PR,18.4555,-66.55575,-4,0
24,618,Barranquitas,PR,18.185463,-66.305824,-4,0
25,622,Boqueron,PR,18.003124,-67.16745,-4,0
26,623,Cabo Rojo,PR,18.08643,-67.15222,-4,0
27,624,Penuelas,PR,18.055399,-66.72602,-4,0
28,625,Caguas,PR,18.23211,-66.039085,-4,0
29,626,Caguas,PR,18.235003,-66.037315,-4,0
30,627,Camuy,PR,18.435246,-66.85644,-4,0
31,631,Castaner,PR,18.186739,-66.85174,-4,0
32,633,Cayey,PR,18.194527,-66.183464,-4,0
33,634,Cayey,PR,18.111528,-66.177086,-4,0
34,635,Ceiba,PR,18.262901,-65.64653,-4,0
35,636,Rosario,PR,18.113283,-67.0397,-4,0
36,637,Sabana Grande,PR,18.073078,-66.94864,-4,0
37,638,Ciales,PR,18.30814,-66.49835,-4,0
38,639,Cidra,PR,18.176094,-66.15873,-4,0
39,640,Coamo,PR,18.077196,-66.3591,-4,0
40,641,Utuado,PR,18.268896,-66.70519,-4,0
41,643,Corozal,PR,18.341253,-66.31519,-4,0
42,644,Coto Laurel,PR,18.049578,-66.55218,-4,0
43,645,Culebra,PR,18.308508,-65.30473,-4,0
44,646,Dorado,PR,18.442799,-66.27689,-4,0
45,647,Ensenada,PR,17.964529,-66.93993,-4,0
46,648,Fajardo,PR,18.333038,-65.65618,-4,0
47,650,Florida,PR,18.36333,-66.56773,-4,0
48,652,Garrochales,PR,18.457453,-66.61217,-4,0
49,653,Guanica,PR,17.992111,-66.90097,-4,0
50,654,Jobos,PR,17.979519,-66.11722,-4,0
51,655,Olimpo,PR,17.976372,-66.1168,-4,0
52,656,Guayanilla,PR,18.038866,-66.79168,-4,0
53,658,Gurabo,PR,18.254137,-65.9736,-4,0
54,659,Hatillo,PR,18.432957,-66.80039,-4,0
55,660,Hormigueros,PR,18.139109,-67.12085,-4,0
56,661,Humacao,PR,18.15083,-65.82659,-4,0
57,662,Isabela,PR,18.478855,-67.01973,-4,0
58,664,Jayuya,PR,18.212564,-66.59243,-4,0
59,665,Ponce,PR,18.044224,-66.502106,-4,0
60,666,Juncos,PR,18.228952,-65.92136,-4,0
61,667,Lajas,PR,18.017818,-67.04226,-4,0
62,669,Lares,PR,18.288418,-66.87503,-4,0
63,670,Las Marias,PR,18.241343,-66.97604,-4,0
64,671,Las Piedras,PR,18.1789,-65.86994,-4,0
65,674,Manati,PR,18.426138,-66.48697,-4,0
66,676,Moca,PR,18.37956,-67.08424,-4,0
67,677,Rincon,PR,18.33612,-67.23675,-4,0
68,678,Quebradillas,PR,18.442333,-66.93275,-4,0
69,680,Mayaguez,PR,18.205233,-67.12655,-4,0
70,681,Mayaguez,PR,18.219023,-67.508064,-4,0
71,682,Mayaguez,PR,18.208403,-67.15428,-4,0
72,683,San German,PR,18.092808,-67.04524,-4,0
73,685,San Sebastian,PR,18.332596,-66.98104,-4,0
74,687,Morovis,PR,18.31708,-66.41528,-4,0
75,688,Sabana Hoyos,PR,18.40415,-66.61348,-4,0
76,690,San Antonio,PR,18.495369,-67.09867,-4,0
77,692,Vega Alta,PR,18.419666,-66.33186,-4,0
78,693,Vega Baja,PR,18.440666,-66.3921,-4,0
79,694,Vega Baja,PR,18.44311,-66.3983,-4,0
80,698,Yauco,PR,18.06547,-66.85587,-4,0
81,703,Aguas Buenas,PR,18.246204,-66.12827,-4,0
82,704,Aguirre,PR,17.970112,-66.22291,-4,0
83,705,Aibonito,PR,18.12942,-66.26541,-4,0
84,707,Maunabo,PR,18.014505,-65.91018,-4,0
85,714,Arroyo,PR,17.987288,-66.05552,-4,0
86,715,Mercedita,PR,18.003492,-66.55868,-4,0
87,716,Ponce,PR,17.999065,-66.59965,-4,0
88,717,Ponce,PR,18.004303,-66.61374,-4,0
89,718,Naguabo,PR,18.22048,-65.74293,-4,0
90,719,Naranjito,PR,18.29457,-66.25098,-4,0
91,720,Orocovis,PR,18.217827,-66.42265,-4,0
92,721,Palmer,PR,18.36416,-65.77829,-4,0
93,723,Patillas,PR,18.023195,-66.0131,-4,0
94,725,Caguas,PR,18.233927,-66.04502,-4,0
95,726,Caguas,PR,18.212965,-66.05804,-4,0
96,728,Ponce,PR,18.013353,-66.65218,-4,0
97,729,Canovanas,PR,18.35615,-65.89089,-4,0
98,730,Ponce,PR,18.022627,-66.61727,-4,0
